channel_id,channel_title,ugc,first_marked_at,last_updated_at
UCudldycLCzI4oEM4mcvbsEA,Tim Hague Sr.,True,2025-12-05,2025-12-05
UCCnT-pTfZI0hhk_YGYjgyXQ,ICON TV - Aventure,False,2025-12-05,2025-12-05
UCApuRae0csBEWdZc0MMUPyQ,lembakas,True,2025-12-05,2025-12-05
UC4YjEKVnKXU-4Gn2h6sC4vg,Allen Douangchak,True,2025-12-05,2025-12-05
UCXB2Ssmb-gExvbGyt3zf9-A,JASEN ONG CHAO WEI,True,2025-12-05,2025-12-05
UCqutQ8fLDGmVeLEbF4rfozg,dryedmangoez1,True,2025-12-05,2025-12-05
UCo-cYYMN4rUc5zk2Kr5GTTg,RHAP: We Know Reality TV,True,2025-12-05,2025-12-05
UCYNLUjN37vuzYcSuhL1Z2Pw,El deposito del Reciclador,True,2025-12-05,2025-12-05
UC-D4aYtcPoU5N8H_V0bZf7A,Jake Browne,True,2025-12-05,2025-12-05
UCzAzMoLwjQTuyqu2QFFzvQQ,Nateland Entertainment,True,2025-12-05,2025-12-05
UC_b-YBWI-vgcjLXVir0dOJQ,CTV Television,False,2025-12-05,2025-12-05
UC3rLoj87ctEHCcS7BuvIzkQ,MsMojo,False,2025-12-05,2025-12-05
UCxo9C5qV65sXqfltCHob7rA,The Amazing Race Fan,True,2025-12-05,2025-12-05
UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,False,2025-12-05,2025-12-05
UCl2axinLKd00nMBW6RTASag,Holderness Family Music,True,2025-12-05,2025-12-05
UC8iRRJ02STiWPHW_hv-s4rg,Once Upon An Island,True,2025-12-05,2025-12-05
UCPY3wSqgeErW9AI5qPLcLUA,The Amazing Race,False,2025-12-05,2025-12-05
UCq0a1MKwg_l0tN56r8u1ZSA,Holderness Family Laughs,True,2025-12-05,2025-12-05
UCVT1tPkR-fUVlO652EcO3ow,CBS Sunday Morning,False,2025-12-05,2025-12-05
UCf_TUkPGLGZRnpHc8GG3lpQ,David Fazer,True,2025-12-05,2025-12-05
